	supersense_category	text
1310	noun.communication	inquiry
1313	noun.quantity	train
1314	noun.communication	treasury
1318	verb.motion	sailabout
1322	noun.person	vice
1324	verb.communication	bringout
1326	noun.relation	linkage
1327	noun.communication	date
1334	noun.location	DunedintheAlert
1335	verb.emotion	summon
1338	noun.location	dankCyclopean
1349	verb.motion	lapse
1354	verb.stative	cease
1356	noun.state	bondage
1357	noun.communication	Castro
1358	noun.time	reign
1359	noun.cognition	mastery
1360	noun.shape	brink
1361	noun.feeling	horror
1363	noun.cognition	horror
1365	noun.state	menace
1366	noun.act	siege
1367	noun.substance	soul
1368	noun.act	cable
1369	noun.act	arrange
1370	verb.communication	bade
1371	noun.person	hostadieu
1373	verb.motion	linger
1374	noun.artifact	tavern
1375	noun.location	Waterfrontscum
1381	noun.location	WestStreet
1382	noun.location	Oslo
1386	noun.act	vice
1387	noun.group	admiraltycourt
1389	noun.location	CircularQuay
1390	noun.location	SydneyCove
1393	noun.location	HydePark
1394	noun.cognition	workmanship
1400	noun.person	geologist
1402	verb.communication	vow
1405	noun.event	revolution
1406	noun.person	MateJohansen
1408	verb.motion	sail
1409	verb.motion	reëmbarke
1410	noun.location	norwegiancapital
1411	noun.time	autumn
1412	verb.motion	landat
1413	noun.artifact	trimwharf
1414	noun.location	egeberg
1416	verb.creation	discover
1417	noun.location	OldTown
1418	noun.location	KingHaroldHaardrada
1419	verb.change	keepalive
1421	verb.creation	masquerade
1422	noun.location	Christiana
1423	noun.artifact	taxicab
1424	verb.motion	knock
1426	verb.emotion	sting
1427	noun.feeling	disappointment
1430	noun.act	doing
1431	verb.emotion	break
1434	verb.competition	safeguard
1435	noun.state	peril
1436	noun.communication	perusal
1437	noun.location	Gothenburg
1438	verb.change	fall
1440	verb.contact	help
1441	noun.artifact	ambulance
1444	noun.state	hearttrouble
1445	noun.state	weakenconstitution
1446	verb.emotion	gnaw
1447	noun.body	vital
1448	verb.change	leave
1449	verb.communication	persuade
1450	noun.person	widow
1453	verb.social	entitle
1455	verb.contact	bore
1456	noun.communication	diary
1458	noun.act	voyage
1460	verb.communication	transcribe
1461	noun.state	cloudiness
1462	noun.attribute	redundance
1463	noun.communication	gist
1467	verb.contact	lurk
1468	noun.act	blasphemy
1470	verb.social	favour
1471	verb.contact	loose
1473	verb.communication	heave
1474	noun.object	stonecity
1477	noun.person	vice-admiralty
1479	noun.artifact	ballast
1480	verb.change	clear
1486	noun.communication	alert
1488	noun.feeling	regret
1489	noun.act	bombardment
1490	noun.event	sink
1491	noun.person	fiend
1492	noun.event	destruction
1494	verb.emotion	shews
1495	noun.attribute	ruthlessness
1496	verb.creation	bring
1497	noun.act	proceeding
1499	verb.emotion	drive
1500	verb.possession	capture
1503	verb.stative	stick
1506	verb.possession	comeupon
1508	noun.substance	mud
1510	noun.artifact	masonry
1514	noun.group	horde
1515	verb.contact	hide
1516	verb.contact	sendout
1517	noun.group	faithful
1518	noun.act	liberation
1519	noun.process	restoration
1521	noun.object	mountain
1522	noun.plant	monolith
1523	noun.artifact	citadel
1527	verb.emotion	awed
1528	noun.attribute	majesty
1529	noun.object	Babylon
1530	noun.person	daemon
1531	noun.communication	guidance
1532	noun.state	Awe
1533	noun.object	stoneblock
1535	noun.object	carvenmonolith
1541	verb.social	achieve
1543	noun.communication	hieroglyph
1547	noun.attribute	dimension
1550	noun.location	acropoli
1551	verb.motion	clamber
1554	noun.state	miasma
1555	verb.stative	wellout
1556	noun.feeling	perversion
1560	noun.substance	carven
1561	verb.change	shew
1562	noun.shape	concavity
1563	noun.attribute	convexity
1564	verb.change	comeover
1567	noun.plant	weed
1569	noun.feeling	scorn
1570	verb.competition	search
1571	noun.artifact	souvenir
1572	verb.emotion	bearaway
1573	noun.person	Rodrigueztheportuguese
1574	noun.artifact	monolith
1575	noun.animal	squid
1576	noun.cognition	relief
1578	noun.artifact	barn
1579	noun.artifact	lintel
1580	noun.artifact	threshold
1581	noun.artifact	jambs
1583	noun.attribute	geometry
1585	noun.person	Donovan
1586	noun.artifact	mould
1588	verb.perception	give
1590	verb.motion	propel
1591	noun.artifact	jamb
1592	verb.social	rejoin
1593	noun.state	recession
1594	noun.artifact	portal
1596	noun.event	distortion
1597	noun.artifact	aperture
1599	noun.attribute	imprisonment
1600	verb.change	darkening
1601	verb.motion	slunk
1602	noun.food	odour
1603	noun.location	depths
1604	noun.person	Hawkins
1605	noun.person	everyone
1606	verb.motion	lumber
1607	noun.attribute	immensity
